name,rssd_id,city,state,county
MT. MCKINLEY BANK,542667,FAIRBANKS,AK,FAIRBANKS NORTH STAR
FIRST BANK,451068,KETCHIKAN,AK,KETCHIKAN GATEWAY
FIRST NATIONAL BANK ALASKA,114260,ANCHORAGE,AK,ANCHORAGE
NORTHRIM BANK,1718188,ANCHORAGE,AK,ANCHORAGE
DENALI STATE BANK,571265,FAIRBANKS,AK,FAIRBANKS NORTH STAR
BANK OF BREWTON,351131,BREWTON,AL,ESCAMBIA
"EXCHANGE BANK OF ALABAMA, THE",672537,ALTOONA,AL,ETOWAH
PHENIX-GIRARD BANK,432432,PHENIX CITY,AL,RUSSELL
"SOUTHERN BANK COMPANY, THE",117775,GADSDEN,AL,ETOWAH
STATE BANK & TRUST,386731,WINFIELD,AL,MARION
NOVA BANK,5807400,HUNTSVILLE,AL,MADISON
MERCHANTS & FARMERS BANK OF GREENE COUNTY,376237,EUTAW,AL,GREENE
BANK INDEPENDENT,539032,SHEFFIELD,AL,COLBERT
SOUTHPOINT BANK,3386536,BIRMINGHAM,AL,JEFFERSON
FIRST JACKSON BANK,248633,STEVENSON,AL,JACKSON
UNITED BANK,994435,ATMORE,AL,ESCAMBIA
FIRST COMMUNITY BANK OF CULLMAN,812379,CULLMAN,AL,CULLMAN
PINNACLE BANK,288376,JASPER,AL,WALKER
SERVISFIRST BANK,3348888,HOMEWOOD,AL,JEFFERSON
LOCAL BANK,470434,TUSCALOOSA,AL,TUSCALOOSA
METRO BANK,1394621,PELL CITY,AL,ST. CLAIR
FIRSTSTATE BANK,540739,LINEVILLE,AL,CLAY
FARMERS AND MERCHANTS BANK,446130,LAFAYETTE,AL,CHAMBERS
NOBLEBANK & TRUST,3385744,ANNISTON,AL,CALHOUN
UNION STATE BANK,467733,PELL CITY,AL,ST. CLAIR
AUBURNBANK,749635,AUBURN,AL,LEE
CENTRAL STATE BANK,353238,CALERA,AL,SHELBY
FARMERS & MERCHANTS BANK,291732,WATERLOO,AL,LAUDERDALE
WEST ALABAMA BANK & TRUST,501132,REFORM,AL,PICKENS
"BANK OF VERNON, THE",382537,VERNON,AL,LAMAR
CITIZENS BANK & TRUST,3174920,GUNTERSVILLE,AL,MARSHALL
MIDSOUTH BANK,929932,DOTHAN,AL,HOUSTON
FIRST METRO BANK,1222519,MUSCLE SHOALS,AL,COLBERT
COMMERCEONE BANK,5227101,BIRMINGHAM,AL,JEFFERSON
BANK OF WALKER COUNTY,3254297,JASPER,AL,WALKER
FIRST COMMUNITY BANK OF CENTRAL ALABAMA,3034257,WETUMPKA,AL,ELMORE
FIRST FINANCIAL BANK,292234,BESSEMER,AL,JEFFERSON
BRYANT BANK,3356191,TUSCALOOSA,AL,TUSCALOOSA
MERIT BANK,290838,HUNTSVILLE,AL,MADISON
FIRST NATIONAL BANK AND TRUST,670430,ATMORE,AL,ESCAMBIA
DOZIER BANK,496434,DOZIER,AL,CRENSHAW
HNB FIRST BANK,117038,HEADLAND,AL,HENRY
MARION COMMUNITY BANK,449832,MARION,AL,PERRY
BANKSOUTH,194936,DOTHAN,AL,HOUSTON
FIRST BANK OF ALABAMA,257233,TALLADEGA,AL,TALLADEGA
22ND STATE BANK,449430,LOUISVILLE,AL,BARBOUR
PEOPLES BANK OF ALABAMA,60330,CULLMAN,AL,CULLMAN
FIRST CAHAWBA BANK,3633016,SELMA,AL,DALLAS
MILLENNIAL BANK,2621285,LEEDS,AL,JEFFERSON
REGIONS BANK,233031,BIRMINGHAM,AL,JEFFERSON
FRIEND BANK,244037,SLOCOMB,AL,GENEVA
"SAMSON BANKING COMPANY, THE",472531,SAMSON,AL,GENEVA
"CITIZENS BANK, THE",571135,GREENSBORO,AL,HALE
FARMERS & MERCHANTS BANK,434539,PIEDMONT,AL,CALHOUN
"CITIZENS' BANK, INC.",563336,ROBERTSDALE,AL,BALDWIN
AMERIFIRST BANK,139133,MONTGOMERY,AL,MONTGOMERY
PEOPLESTRUST BANK,3282012,HAMILTON,AL,MARION
SOUTHERN INDEPENDENT BANK,3531176,OPP,AL,COVINGTON
FIRST US BANK,259330,BIRMINGHAM,AL,JEFFERSON
"FIRST STATE BANK OF THE SOUTH, INC.",250430,SULLIGENT,AL,LAMAR
FIRST NATIONAL BANK OF HARTFORD,112332,HARTFORD,AL,GENEVA
CCB COMMUNITY BANK,655839,ANDALUSIA,AL,COVINGTON
BANK OF EVERGREEN,560438,EVERGREEN,AL,CONECUH
"CITIZENS BANK, THE",374130,ENTERPRISE,AL,COFFEE
PEOPLES BANK OF GREENSBORO,320034,GREENSBORO,AL,HALE
"CB&S BANK, INC.",594433,RUSSELLVILLE,AL,FRANKLIN
"HOMETOWN BANK OF ALABAMA, THE",3217331,ONEONTA,AL,BLOUNT
RIVER BANK & TRUST,3437157,PRATTVILLE,AL,ELMORE
TROY BANK & TRUST COMPANY,134437,TROY,AL,PIKE
COMMUNITY SPIRIT BANK,470032,RED BAY,AL,FRANKLIN
FIRST FIDELITY BANK,420877,FORT PAYNE,AL,DEKALB
"FIRST FEDERAL BANK, A FSB",814074,TUSCALOOSA,AL,TUSCALOOSA
PEOPLES EXCHANGE BANK,42037,MONROEVILLE,AL,MONROE
CULLMAN SAVINGS BANK,934673,CULLMAN,AL,CULLMAN
LIBERTY BANK,386432,GERALDINE,AL,DEKALB
SOUTHERN STATES BANK,3629420,ANNISTON,AL,CALHOUN
TRADITIONS BANK,3194692,CULLMAN,AL,CULLMAN
COMMUNITY NEIGHBOR BANK,466932,CAMDEN,AL,WILCOX
NORTH ALABAMA BANK,1402384,HAZEL GREEN,AL,MADISON
ALAMERICA BANK,2877484,BIRMINGHAM,AL,JEFFERSON
ROBERTSON BANKING COMPANY,430036,DEMOPOLIS,AL,MARENGO
BANK OF MOUNDVILLE,586335,MOUNDVILLE,AL,HALE
